Date,MONTH,Product,Category,Sales Representative,City,No. of Units,Price,Amount
08-05-2021,May,Dell XPS 13,Headphone,Tara,Cochin,45,1636,73620
20-03-2021,March,HP Envy x360,Headphone,Krish,Delhi,33,803,26499
19-12-2021,December,iPhone 11 Pro,Headphone,Bruce,Cochin,36,562,20232
27-05-2021,May,Apple AirPods Pro,Laptop,Asif,Bangalore,12,472,5664
04-04-2021,April,iPhone 11 Pro,Phone,Bruce,Bangalore,5,250,1250
20-10-2021,October,OnePlus Buds,Phone,Tara,Cochin,9,972,8748
08-01-2021,January,iPhone 11 Pro,Laptop,Asif,Mumbai,15,508,7620
20-11-2021,November,Dell XPS 13,Phone,Tara,Cochin,25,584,14600
11-11-2021,November,OnePlus Buds,Headphone,Giana,Bangalore,23,1221,28083
03-05-2021,May,Apple AirPods Pro,Phone,Asif,Delhi,24,917,22008
06-11-2021,November,Dell XPS 13,Laptop,Tara,Cochin,23,1084,24932
08-12-2021,December,Dell XPS 13,Laptop,Krish,Bangalore,37,1802,66674
23-05-2021,May,Dell XPS 13,Laptop,Kate,Cochin,30,881,26430
03-05-2021,May,Dell XPS 13,Headphone,Tara,Bangalore,48,1379,66192
10-09-2021,September,Apple AirPods Pro,Headphone,Kate,Delhi,9,637,5733
11-04-2021,April,Dell XPS 13,Phone,Aryan,Mumbai,12,695,8340
20-04-2021,April,OnePlus Buds,Phone,Krish,Mumbai,45,1745,78525
17-10-2021,October,Apple AirPods Pro,Headphone,Bruce,Mumbai,14,1094,15316
08-10-2021,October,iPhone 11 Pro,Phone,Tara,Mumbai,41,442,18122
01-08-2021,August,iPhone 11 Pro,Laptop,Asif,Delhi,23,1154,26542
24-11-2021,November,Apple AirPods Pro,Laptop,Aryan,Mumbai,16,1213,19408
29-04-2021,April,OnePlus Buds,Laptop,Krish,Delhi,28,192,5376
08-10-2021,October,iPhone 11 Pro,Phone,Krish,Mumbai,15,1520,22800
11-06-2021,June,HP Envy x360,Phone,Aryan,Delhi,47,681,32007
19-01-2021,January,HP Envy x360,Phone,Tara,Delhi,36,1379,49644
24-01-2021,January,iPhone 11 Pro,Headphone,Tara,Bangalore,17,424,7208
28-02-2021,February,iPhone 11 Pro,Headphone,Giana,Bangalore,31,309,9579
29-04-2021,April,OnePlus Buds,Phone,Kate,Bangalore,34,1302,44268
05-09-2021,September,iPhone 11 Pro,Laptop,Aryan,Bangalore,30,1207,36210
20-09-2021,September,HP Envy x360,Phone,Giana,Delhi,11,1658,18238
22-08-2021,August,OnePlus Buds,Phone,Aryan,Bangalore,16,977,15632
14-08-2021,August,Apple AirPods Pro,Laptop,Krish,Delhi,39,1121,43719
11-04-2021,April,Apple AirPods Pro,Headphone,Tara,Cochin,47,979,46013
17-01-2021,January,Apple AirPods Pro,Laptop,Aryan,Cochin,16,1538,24608
20-12-2021,December,Apple AirPods Pro,Phone,Asif,Delhi,43,1306,56158
22-08-2021,August,OnePlus Buds,Headphone,Kate,Delhi,20,1862,37240
04-09-2021,September,Dell XPS 13,Phone,Asif,Cochin,25,868,21700
08-11-2021,November,iPhone 11 Pro,Laptop,Bruce,Cochin,20,1818,36360
21-02-2021,February,Dell XPS 13,Headphone,Kate,Cochin,3,660,1980
29-11-2021,November,Dell XPS 13,Laptop,Krish,Delhi,31,794,24614
29-05-2021,May,Dell XPS 13,Laptop,Bruce,Bangalore,10,1194,11940
08-11-2021,November,HP Envy x360,Phone,Tara,Bangalore,40,1758,70320
31-10-2021,October,HP Envy x360,Laptop,Bruce,Cochin,35,1893,66255
29-08-2021,August,HP Envy x360,Phone,Asif,Cochin,27,1877,50679
26-08-2021,August,Apple AirPods Pro,Headphone,Asif,Delhi,45,1839,82755
24-01-2021,January,OnePlus Buds,Laptop,Bruce,Delhi,22,1227,26994
25-03-2021,March,OnePlus Buds,Laptop,Bruce,Delhi,12,129,1548
03-11-2021,November,iPhone 11 Pro,Phone,Bruce,Cochin,49,1651,80899
07-08-2021,August,HP Envy x360,Headphone,Asif,Delhi,25,1809,45225
02-03-2021,March,Apple AirPods Pro,Laptop,Aryan,Bangalore,33,1754,57882
23-11-2021,November,OnePlus Buds,Headphone,Bruce,Bangalore,44,850,37400
20-08-2021,August,OnePlus Buds,Phone,Aryan,Delhi,18,559,10062
01-12-2021,December,Apple AirPods Pro,Laptop,Aryan,Delhi,31,144,4464
07-09-2021,September,HP Envy x360,Phone,Bruce,Mumbai,1,389,389
29-08-2021,August,Apple AirPods Pro,Phone,Aryan,Mumbai,4,1877,7508
18-05-2021,May,Apple AirPods Pro,Phone,Krish,Bangalore,45,240,10800
23-05-2021,May,OnePlus Buds,Phone,Bruce,Delhi,30,583,17490
31-08-2021,August,HP Envy x360,Headphone,Giana,Mumbai,29,1445,41905
07-09-2021,September,iPhone 11 Pro,Laptop,Krish,Bangalore,1,1352,1352
26-06-2021,June,Apple AirPods Pro,Laptop,Krish,Cochin,43,221,9503
22-10-2021,October,HP Envy x360,Phone,Krish,Delhi,30,1999,59970
16-05-2021,May,HP Envy x360,Laptop,Giana,Mumbai,6,311,1866
06-12-2021,December,OnePlus Buds,Phone,Asif,Cochin,16,248,3968
01-01-2022,January,Dell XPS 13,Laptop,Bruce,Cochin,41,358,14678
02-12-2021,December,Dell XPS 13,Laptop,Kate,Mumbai,15,789,11835
28-09-2021,September,iPhone 11 Pro,Laptop,Bruce,Bangalore,27,1827,49329
11-12-2021,December,iPhone 11 Pro,Laptop,Bruce,Cochin,35,1112,38920
02-12-2021,December,iPhone 11 Pro,Headphone,Kate,Delhi,33,1302,42966
07-10-2021,October,HP Envy x360,Laptop,Asif,Delhi,48,1863,89424
05-08-2021,August,HP Envy x360,Laptop,Aryan,Cochin,1,1496,1496
11-03-2021,March,OnePlus Buds,Phone,Krish,Bangalore,35,1744,61040
25-02-2021,February,Apple AirPods Pro,Laptop,Krish,Bangalore,39,1494,58266
24-08-2021,August,iPhone 11 Pro,Phone,Giana,Bangalore,21,767,16107
23-10-2021,October,HP Envy x360,Phone,Krish,Delhi,40,1943,77720
11-07-2021,July,iPhone 11 Pro,Phone,Asif,Delhi,41,1572,64452
31-03-2021,March,OnePlus Buds,Headphone,Bruce,Cochin,13,379,4927
10-01-2021,January,Apple AirPods Pro,Phone,Aryan,Mumbai,42,1614,67788
07-03-2021,March,Apple AirPods Pro,Phone,Krish,Delhi,18,1264,22752
08-05-2021,May,HP Envy x360,Headphone,Krish,Bangalore,32,1830,58560
20-12-2021,December,Dell XPS 13,Headphone,Tara,Cochin,16,777,12432
19-04-2021,April,OnePlus Buds,Laptop,Giana,Delhi,18,246,4428
16-08-2021,August,Apple AirPods Pro,Headphone,Giana,Bangalore,21,1804,37884
11-02-2021,February,Dell XPS 13,Headphone,Asif,Cochin,47,1484,69748
24-06-2021,June,Dell XPS 13,Headphone,Aryan,Cochin,24,1833,43992
25-10-2021,October,Apple AirPods Pro,Laptop,Aryan,Bangalore,42,1600,67200
01-02-2021,February,OnePlus Buds,Phone,Kate,Bangalore,14,1089,15246
06-03-2021,March,HP Envy x360,Phone,Bruce,Mumbai,38,1224,46512
13-11-2021,November,Dell XPS 13,Headphone,Bruce,Cochin,38,548,20824
08-11-2021,November,Apple AirPods Pro,Laptop,Giana,Bangalore,44,281,12364
17-08-2021,August,Apple AirPods Pro,Laptop,Aryan,Cochin,49,1887,92463
19-10-2021,October,HP Envy x360,Phone,Asif,Delhi,31,1614,50034
05-02-2021,February,iPhone 11 Pro,Laptop,Krish,Bangalore,6,1221,7326
01-01-2021,January,iPhone 11 Pro,Laptop,Aryan,Bangalore,13,1267,16471
11-05-2021,May,Dell XPS 13,Laptop,Bruce,Delhi,48,876,42048
03-11-2021,November,iPhone 11 Pro,Headphone,Asif,Bangalore,28,1429,40012
29-05-2021,May,Dell XPS 13,Headphone,Aryan,Delhi,14,1710,23940
13-09-2021,September,Apple AirPods Pro,Phone,Aryan,Mumbai,31,109,3379
23-04-2021,April,OnePlus Buds,Headphone,Kate,Bangalore,30,1876,56280
09-01-2021,January,Dell XPS 13,Headphone,Kate,Cochin,15,1386,20790
04-06-2021,June,OnePlus Buds,Headphone,Aryan,Cochin,19,1672,31768
09-11-2021,November,OnePlus Buds,Headphone,Giana,Delhi,18,1036,18648
26-05-2021,May,Dell XPS 13,Phone,Kate,Mumbai,45,1846,83070
01-01-2022,January,HP Envy x360,Phone,Bruce,Bangalore,12,1451,17412
26-03-2021,March,Apple AirPods Pro,Headphone,Kate,Mumbai,5,1081,5405
29-09-2021,September,OnePlus Buds,Headphone,Kate,Mumbai,5,1713,8565
04-02-2021,February,Apple AirPods Pro,Laptop,Tara,Bangalore,28,1541,43148
18-05-2021,May,iPhone 11 Pro,Phone,Kate,Cochin,41,1894,77654
16-05-2021,May,Apple AirPods Pro,Headphone,Asif,Cochin,18,1947,35046
03-03-2021,March,Dell XPS 13,Laptop,Tara,Cochin,10,200,2000
02-10-2021,October,HP Envy x360,Laptop,Krish,Cochin,9,1156,10404
17-03-2021,March,Apple AirPods Pro,Headphone,Kate,Mumbai,39,1291,50349
02-07-2021,July,OnePlus Buds,Laptop,Kate,Cochin,7,1890,13230
28-11-2021,November,HP Envy x360,Laptop,Tara,Cochin,46,1503,69138
05-07-2021,July,Apple AirPods Pro,Laptop,Asif,Cochin,45,1540,69300
07-10-2021,October,OnePlus Buds,Phone,Giana,Bangalore,17,781,13277
07-03-2021,March,OnePlus Buds,Laptop,Aryan,Delhi,46,1146,52716
11-11-2021,November,Apple AirPods Pro,Laptop,Kate,Cochin,17,1885,32045
22-06-2021,June,HP Envy x360,Headphone,Asif,Bangalore,48,1273,61104
16-01-2021,January,Dell XPS 13,Headphone,Asif,Delhi,43,1755,75465
22-10-2021,October,iPhone 11 Pro,Phone,Krish,Bangalore,10,1336,13360
21-10-2021,October,iPhone 11 Pro,Laptop,Asif,Cochin,40,1350,54000
11-08-2021,August,Dell XPS 13,Headphone,Giana,Cochin,4,1081,4324
07-12-2021,December,Apple AirPods Pro,Headphone,Tara,Mumbai,42,970,40740
19-02-2021,February,HP Envy x360,Laptop,Bruce,Delhi,33,873,28809
09-10-2021,October,Apple AirPods Pro,Headphone,Bruce,Mumbai,49,566,27734
02-11-2021,November,Dell XPS 13,Phone,Giana,Cochin,3,1901,5703
24-05-2021,May,iPhone 11 Pro,Headphone,Bruce,Bangalore,16,1239,19824
25-01-2021,January,Apple AirPods Pro,Phone,Asif,Cochin,19,990,18810
04-10-2021,October,Dell XPS 13,Phone,Bruce,Delhi,5,650,3250
16-07-2021,July,HP Envy x360,Headphone,Aryan,Mumbai,1,1401,1401
08-11-2021,November,OnePlus Buds,Headphone,Asif,Cochin,28,313,8764
05-12-2021,December,Apple AirPods Pro,Headphone,Giana,Mumbai,50,1710,85500
17-12-2021,December,Dell XPS 13,Phone,Tara,Mumbai,12,152,1824
24-08-2021,August,iPhone 11 Pro,Laptop,Krish,Delhi,20,406,8120
04-08-2021,August,iPhone 11 Pro,Headphone,Kate,Cochin,28,451,12628
13-04-2021,April,OnePlus Buds,Laptop,Aryan,Delhi,21,141,2961
29-11-2021,November,Dell XPS 13,Phone,Giana,Bangalore,22,914,20108
14-08-2021,August,Dell XPS 13,Headphone,Giana,Cochin,27,970,26190
26-04-2021,April,iPhone 11 Pro,Laptop,Aryan,Delhi,8,1911,15288
05-11-2021,November,OnePlus Buds,Phone,Tara,Bangalore,2,1151,2302
03-06-2021,June,Apple AirPods Pro,Headphone,Giana,Delhi,21,1981,41601
19-12-2021,December,HP Envy x360,Laptop,Krish,Cochin,33,1533,50589
21-04-2021,April,OnePlus Buds,Headphone,Bruce,Cochin,36,1197,43092
19-03-2021,March,HP Envy x360,Phone,Aryan,Mumbai,42,1980,83160
25-02-2021,February,Dell XPS 13,Laptop,Giana,Delhi,22,1597,35134
17-03-2021,March,HP Envy x360,Laptop,Giana,Bangalore,33,173,5709
10-09-2021,September,OnePlus Buds,Phone,Bruce,Cochin,16,1869,29904
11-12-2021,December,Dell XPS 13,Phone,Kate,Cochin,1,896,896
21-12-2021,December,iPhone 11 Pro,Phone,Bruce,Mumbai,9,150,1350
20-02-2021,February,iPhone 11 Pro,Headphone,Kate,Cochin,20,811,16220
16-11-2021,November,Apple AirPods Pro,Phone,Bruce,Mumbai,42,1520,63840
18-05-2021,May,Dell XPS 13,Headphone,Bruce,Mumbai,50,1046,52300
27-02-2021,February,Apple AirPods Pro,Headphone,Asif,Mumbai,17,1818,30906
11-12-2021,December,Apple AirPods Pro,Laptop,Giana,Mumbai,22,213,4686
28-12-2021,December,iPhone 11 Pro,Phone,Bruce,Bangalore,13,1005,13065
22-06-2021,June,Apple AirPods Pro,Headphone,Kate,Cochin,43,1022,43946
23-02-2021,February,iPhone 11 Pro,Headphone,Bruce,Delhi,6,1367,8202
03-02-2021,February,Dell XPS 13,Phone,Asif,Cochin,4,849,3396
13-05-2021,May,iPhone 11 Pro,Laptop,Kate,Bangalore,26,1353,35178
20-11-2021,November,Dell XPS 13,Phone,Aryan,Cochin,26,1370,35620
27-08-2021,August,HP Envy x360,Headphone,Bruce,Delhi,46,1873,86158
18-12-2021,December,Dell XPS 13,Laptop,Bruce,Mumbai,16,1516,24256
23-07-2021,July,HP Envy x360,Phone,Asif,Cochin,30,823,24690
07-01-2021,January,iPhone 11 Pro,Phone,Tara,Mumbai,33,1854,61182
05-02-2021,February,Dell XPS 13,Laptop,Bruce,Cochin,14,446,6244
15-05-2021,May,OnePlus Buds,Headphone,Aryan,Bangalore,48,1935,92880
20-02-2021,February,OnePlus Buds,Phone,Krish,Cochin,33,1687,55671
13-02-2021,February,OnePlus Buds,Headphone,Giana,Cochin,39,539,21021
19-03-2021,March,iPhone 11 Pro,Headphone,Aryan,Mumbai,9,884,7956
28-09-2021,September,Apple AirPods Pro,Laptop,Giana,Delhi,20,449,8980
29-03-2021,March,iPhone 11 Pro,Laptop,Bruce,Delhi,45,1396,62820
06-11-2021,November,iPhone 11 Pro,Phone,Kate,Cochin,41,1882,77162
27-10-2021,October,OnePlus Buds,Laptop,Asif,Mumbai,16,206,3296
03-03-2021,March,iPhone 11 Pro,Headphone,Bruce,Cochin,10,1482,14820
01-10-2021,October,HP Envy x360,Phone,Bruce,Cochin,40,607,24280
10-03-2021,March,OnePlus Buds,Phone,Aryan,Cochin,47,1538,72286
14-12-2021,December,OnePlus Buds,Phone,Kate,Delhi,46,1311,60306
21-02-2021,February,HP Envy x360,Headphone,Giana,Cochin,31,1571,48701
03-01-2021,January,HP Envy x360,Headphone,Asif,Cochin,14,910,12740
29-07-2021,July,HP Envy x360,Phone,Kate,Mumbai,3,1181,3543
23-06-2021,June,Dell XPS 13,Headphone,Krish,Delhi,47,497,23359
28-04-2021,April,Apple AirPods Pro,Headphone,Krish,Cochin,32,1911,61152
15-12-2021,December,iPhone 11 Pro,Laptop,Asif,Cochin,29,743,21547
11-12-2021,December,Dell XPS 13,Laptop,Kate,Mumbai,31,191,5921
21-08-2021,August,HP Envy x360,Laptop,Aryan,Cochin,33,1847,60951
12-06-2021,June,OnePlus Buds,Headphone,Kate,Mumbai,22,331,7282
02-03-2021,March,iPhone 11 Pro,Headphone,Kate,Delhi,23,1315,30245
27-06-2021,June,OnePlus Buds,Phone,Kate,Mumbai,25,297,7425
14-11-2021,November,HP Envy x360,Phone,Aryan,Delhi,27,1990,53730
19-09-2021,September,OnePlus Buds,Headphone,Krish,Bangalore,24,1897,45528
28-06-2021,June,Dell XPS 13,Laptop,Asif,Bangalore,26,448,11648
21-09-2021,September,Dell XPS 13,Laptop,Bruce,Mumbai,23,1249,28727
31-07-2021,July,OnePlus Buds,Laptop,Krish,Delhi,13,1663,21619
04-01-2021,January,iPhone 11 Pro,Laptop,Giana,Cochin,27,561,15147
23-05-2021,May,OnePlus Buds,Headphone,Tara,Cochin,36,1654,59544
12-05-2021,May,OnePlus Buds,Phone,Asif,Bangalore,19,1739,33041
17-07-2021,July,Apple AirPods Pro,Headphone,Giana,Mumbai,46,1400,64400
22-01-2021,January,Apple AirPods Pro,Headphone,Bruce,Bangalore,32,646,20672
16-05-2021,May,OnePlus Buds,Laptop,Kate,Mumbai,44,1022,44968
01-04-2021,April,HP Envy x360,Headphone,Krish,Delhi,1,1500,1500
14-11-2021,November,HP Envy x360,Phone,Asif,Bangalore,46,821,37766
06-11-2021,November,Apple AirPods Pro,Phone,Giana,Bangalore,35,1061,37135
29-09-2021,September,Dell XPS 13,Headphone,Kate,Delhi,43,303,13029
13-05-2021,May,iPhone 11 Pro,Phone,Bruce,Mumbai,28,1377,38556
19-04-2021,April,iPhone 11 Pro,Laptop,Tara,Mumbai,4,1302,5208
16-04-2021,April,HP Envy x360,Headphone,Bruce,Cochin,35,651,22785
27-05-2021,May,HP Envy x360,Headphone,Kate,Delhi,13,450,5850
03-05-2021,May,Apple AirPods Pro,Laptop,Giana,Bangalore,25,1461,36525
26-09-2021,September,Apple AirPods Pro,Laptop,Kate,Mumbai,9,960,8640
27-02-2021,February,Apple AirPods Pro,Laptop,Kate,Cochin,2,1791,3582
05-04-2021,April,iPhone 11 Pro,Phone,Aryan,Delhi,20,1544,30880
11-01-2021,January,iPhone 11 Pro,Headphone,Bruce,Delhi,44,1629,71676
11-03-2021,March,iPhone 11 Pro,Laptop,Kate,Mumbai,50,362,18100
16-06-2021,June,Dell XPS 13,Phone,Aryan,Delhi,36,940,33840
10-01-2021,January,HP Envy x360,Phone,Asif,Cochin,4,1779,7116
11-07-2021,July,OnePlus Buds,Headphone,Krish,Bangalore,47,627,29469
22-12-2021,December,HP Envy x360,Laptop,Giana,Bangalore,16,1982,31712
25-05-2021,May,iPhone 11 Pro,Laptop,Asif,Cochin,46,1496,68816
14-06-2021,June,iPhone 11 Pro,Laptop,Aryan,Mumbai,48,701,33648
12-02-2021,February,HP Envy x360,Laptop,Kate,Mumbai,15,271,4065
15-04-2021,April,Apple AirPods Pro,Headphone,Kate,Bangalore,3,1039,3117
23-04-2021,April,iPhone 11 Pro,Headphone,Giana,Delhi,33,1487,49071
05-09-2021,September,OnePlus Buds,Laptop,Kate,Mumbai,6,733,4398
08-08-2021,August,OnePlus Buds,Laptop,Kate,Bangalore,4,1201,4804
03-05-2021,May,HP Envy x360,Phone,Giana,Mumbai,14,1871,26194
15-11-2021,November,HP Envy x360,Phone,Bruce,Bangalore,20,1709,34180
24-05-2021,May,OnePlus Buds,Phone,Asif,Bangalore,30,405,12150
20-06-2021,June,Dell XPS 13,Headphone,Kate,Mumbai,48,780,37440
23-09-2021,September,HP Envy x360,Phone,Bruce,Delhi,36,358,12888
02-06-2021,June,HP Envy x360,Headphone,Giana,Delhi,14,1596,22344
17-11-2021,November,iPhone 11 Pro,Laptop,Krish,Mumbai,34,327,11118
10-10-2021,October,OnePlus Buds,Headphone,Aryan,Delhi,4,1079,4316
14-06-2021,June,Apple AirPods Pro,Headphone,Bruce,Delhi,8,1608,12864
09-10-2021,October,Apple AirPods Pro,Headphone,Giana,Bangalore,47,210,9870
26-03-2021,March,OnePlus Buds,Laptop,Tara,Bangalore,39,480,18720
30-04-2021,April,Dell XPS 13,Phone,Kate,Mumbai,17,1319,22423
13-10-2021,October,HP Envy x360,Headphone,Krish,Delhi,47,1254,58938
03-07-2021,July,HP Envy x360,Phone,Asif,Cochin,32,123,3936
23-02-2021,February,OnePlus Buds,Headphone,Aryan,Bangalore,17,1264,21488
12-05-2021,May,iPhone 11 Pro,Laptop,Giana,Mumbai,5,1034,5170
29-03-2021,March,Apple AirPods Pro,Headphone,Bruce,Mumbai,45,1310,58950
13-03-2021,March,iPhone 11 Pro,Headphone,Bruce,Delhi,39,404,15756
06-10-2021,October,Dell XPS 13,Phone,Kate,Bangalore,33,815,26895
19-06-2021,June,Apple AirPods Pro,Phone,Tara,Delhi,48,1238,59424
24-07-2021,July,OnePlus Buds,Headphone,Kate,Delhi,41,708,29028
03-11-2021,November,HP Envy x360,Headphone,Asif,Cochin,17,1239,21063
02-04-2021,April,Dell XPS 13,Phone,Bruce,Mumbai,1,1531,1531
13-05-2021,May,Dell XPS 13,Phone,Asif,Bangalore,36,1333,47988
10-03-2021,March,iPhone 11 Pro,Laptop,Krish,Bangalore,50,1510,75500
17-05-2021,May,Dell XPS 13,Laptop,Tara,Cochin,46,1109,51014
05-10-2021,October,HP Envy x360,Laptop,Krish,Bangalore,34,1668,56712
18-08-2021,August,Apple AirPods Pro,Laptop,Tara,Mumbai,29,1693,49097
18-11-2021,November,Apple AirPods Pro,Laptop,Aryan,Cochin,47,1407,66129
06-05-2021,May,OnePlus Buds,Laptop,Giana,Cochin,34,1458,49572
04-10-2021,October,OnePlus Buds,Laptop,Tara,Mumbai,47,782,36754
10-08-2021,August,HP Envy x360,Laptop,Giana,Mumbai,17,303,5151
19-06-2021,June,HP Envy x360,Laptop,Krish,Bangalore,27,213,5751
29-11-2021,November,iPhone 11 Pro,Phone,Kate,Bangalore,42,878,36876
25-12-2021,December,Dell XPS 13,Headphone,Krish,Cochin,35,1924,67340
16-08-2021,August,OnePlus Buds,Headphone,Krish,Cochin,23,552,12696
15-04-2021,April,iPhone 11 Pro,Phone,Asif,Cochin,30,1963,58890
19-06-2021,June,Apple AirPods Pro,Phone,Kate,Delhi,37,1715,63455
09-02-2021,February,Dell XPS 13,Phone,Krish,Cochin,18,286,5148
12-06-2021,June,Apple AirPods Pro,Laptop,Tara,Cochin,7,1772,12404
24-06-2021,June,iPhone 11 Pro,Laptop,Krish,Cochin,50,794,39700
30-01-2021,January,HP Envy x360,Headphone,Giana,Bangalore,16,333,5328
14-09-2021,September,Apple AirPods Pro,Laptop,Bruce,Bangalore,29,976,28304
27-05-2021,May,Apple AirPods Pro,Headphone,Bruce,Delhi,26,1174,30524
29-12-2021,December,iPhone 11 Pro,Headphone,Giana,Mumbai,6,575,3450
19-04-2021,April,Dell XPS 13,Laptop,Kate,Cochin,15,816,12240
15-05-2021,May,Dell XPS 13,Headphone,Tara,Mumbai,19,1623,30837
04-01-2021,January,HP Envy x360,Laptop,Asif,Bangalore,43,1000,43000
14-06-2021,June,iPhone 11 Pro,Laptop,Asif,Cochin,6,371,2226
18-06-2021,June,OnePlus Buds,Headphone,Tara,Cochin,25,320,8000
22-06-2021,June,OnePlus Buds,Laptop,Aryan,Cochin,50,1117,55850
27-07-2021,July,Dell XPS 13,Headphone,Kate,Delhi,24,862,20688
08-05-2021,May,Apple AirPods Pro,Phone,Giana,Mumbai,4,555,2220
27-07-2021,July,Dell XPS 13,Laptop,Bruce,Bangalore,39,1099,42861
09-07-2021,July,Apple AirPods Pro,Laptop,Bruce,Mumbai,40,654,26160
04-06-2021,June,OnePlus Buds,Headphone,Bruce,Bangalore,8,161,1288
28-10-2021,October,Dell XPS 13,Headphone,Giana,Bangalore,28,1739,48692
22-05-2021,May,Apple AirPods Pro,Laptop,Krish,Delhi,12,1399,16788
29-03-2021,March,OnePlus Buds,Phone,Bruce,Cochin,2,1620,3240
16-04-2021,April,iPhone 11 Pro,Phone,Giana,Delhi,3,1061,3183
24-11-2021,November,Apple AirPods Pro,Phone,Krish,Bangalore,30,1588,47640
12-07-2021,July,Apple AirPods Pro,Laptop,Bruce,Mumbai,48,1103,52944
10-05-2021,May,Dell XPS 13,Laptop,Krish,Bangalore,22,1610,35420
06-02-2021,February,Apple AirPods Pro,Phone,Asif,Mumbai,50,391,19550
17-11-2021,November,Apple AirPods Pro,Laptop,Tara,Mumbai,29,1473,42717
23-05-2021,May,Apple AirPods Pro,Phone,Krish,Mumbai,23,747,17181
01-06-2021,June,Dell XPS 13,Headphone,Asif,Bangalore,34,738,25092
22-02-2021,February,Dell XPS 13,Laptop,Asif,Bangalore,14,1593,22302
13-03-2021,March,HP Envy x360,Headphone,Aryan,Cochin,39,1325,51675
30-03-2021,March,OnePlus Buds,Phone,Krish,Bangalore,14,1024,14336
27-04-2021,April,iPhone 11 Pro,Laptop,Kate,Cochin,25,250,6250
12-06-2021,June,OnePlus Buds,Phone,Krish,Delhi,23,682,15686
13-12-2021,December,OnePlus Buds,Phone,Bruce,Mumbai,11,1748,19228
16-12-2021,December,Dell XPS 13,Laptop,Aryan,Delhi,23,354,8142
03-02-2021,February,Apple AirPods Pro,Headphone,Krish,Mumbai,9,279,2511
11-07-2021,July,Dell XPS 13,Phone,Asif,Delhi,26,860,22360
01-09-2021,September,Dell XPS 13,Phone,Giana,Mumbai,19,1898,36062
19-05-2021,May,Apple AirPods Pro,Laptop,Aryan,Bangalore,6,1185,7110
07-10-2021,October,OnePlus Buds,Headphone,Giana,Bangalore,35,1537,53795
27-01-2021,January,Dell XPS 13,Laptop,Giana,Cochin,14,910,12740
21-02-2021,February,Apple AirPods Pro,Phone,Aryan,Mumbai,28,1393,39004
11-04-2021,April,iPhone 11 Pro,Headphone,Krish,Delhi,7,629,4403
25-07-2021,July,Dell XPS 13,Laptop,Kate,Cochin,2,470,940
01-11-2021,November,Apple AirPods Pro,Phone,Tara,Cochin,11,650,7150
02-03-2021,March,Dell XPS 13,Laptop,Bruce,Bangalore,15,1821,27315
30-11-2021,November,iPhone 11 Pro,Headphone,Giana,Delhi,1,1101,1101
11-11-2021,November,Apple AirPods Pro,Headphone,Kate,Delhi,34,1692,57528
03-09-2021,September,iPhone 11 Pro,Headphone,Aryan,Mumbai,47,750,35250
18-07-2021,July,HP Envy x360,Phone,Tara,Cochin,12,721,8652
27-03-2021,March,OnePlus Buds,Headphone,Giana,Delhi,41,368,15088
03-10-2021,October,HP Envy x360,Laptop,Giana,Mumbai,4,1340,5360
15-01-2021,January,iPhone 11 Pro,Laptop,Krish,Delhi,50,1177,58850
07-08-2021,August,Apple AirPods Pro,Headphone,Giana,Delhi,1,1685,1685
09-12-2021,December,OnePlus Buds,Phone,Tara,Cochin,29,603,17487
21-07-2021,July,HP Envy x360,Phone,Giana,Delhi,29,1986,57594
27-03-2021,March,Dell XPS 13,Laptop,Tara,Cochin,7,976,6832
15-03-2021,March,iPhone 11 Pro,Laptop,Giana,Bangalore,43,432,18576
27-04-2021,April,OnePlus Buds,Headphone,Tara,Bangalore,27,705,19035
04-03-2021,March,Dell XPS 13,Headphone,Aryan,Delhi,17,308,5236
01-12-2021,December,Dell XPS 13,Laptop,Giana,Mumbai,14,523,7322
29-10-2021,October,OnePlus Buds,Headphone,Kate,Bangalore,41,1812,74292
02-11-2021,November,Dell XPS 13,Phone,Giana,Cochin,46,1464,67344
25-02-2021,February,HP Envy x360,Laptop,Tara,Bangalore,41,509,20869
29-04-2021,April,Dell XPS 13,Phone,Aryan,Cochin,32,651,20832
27-04-2021,April,HP Envy x360,Headphone,Tara,Delhi,3,1063,3189
30-09-2021,September,OnePlus Buds,Headphone,Giana,Mumbai,1,450,450
01-02-2021,February,Apple AirPods Pro,Headphone,Tara,Cochin,28,1063,29764
19-06-2021,June,Apple AirPods Pro,Phone,Kate,Bangalore,28,1337,37436
18-11-2021,November,iPhone 11 Pro,Phone,Tara,Delhi,16,1085,17360
09-11-2021,November,iPhone 11 Pro,Phone,Bruce,Bangalore,36,613,22068
13-10-2021,October,iPhone 11 Pro,Laptop,Aryan,Delhi,10,1704,17040
01-06-2021,June,Dell XPS 13,Headphone,Kate,Mumbai,8,615,4920
14-02-2021,February,Apple AirPods Pro,Headphone,Bruce,Bangalore,32,1727,55264
22-02-2021,February,Dell XPS 13,Laptop,Kate,Bangalore,35,1209,42315
04-11-2021,November,iPhone 11 Pro,Headphone,Krish,Bangalore,16,128,2048
24-07-2021,July,Apple AirPods Pro,Headphone,Krish,Bangalore,11,1646,18106
25-06-2021,June,HP Envy x360,Laptop,Asif,Delhi,35,303,10605
25-12-2021,December,iPhone 11 Pro,Phone,Giana,Cochin,46,1867,85882
28-07-2021,July,Apple AirPods Pro,Phone,Krish,Delhi,50,458,22900
